Date,Bikes_Rented
2/24/2015,7
2/25/2015,7
2/26/2015,4
2/27/2015,0
2/28/2015,3
3/1/2015,1
3/2/2015,9
3/3/2015,6
3/4/2015,4
3/5/2015,13
3/6/2015,11
3/7/2015,21
3/8/2015,61
3/9/2015,38
3/10/2015,12
3/11/2015,57
3/12/2015,69
3/13/2015,11
3/14/2015,84
3/15/2015,194
3/16/2015,156
3/17/2015,41
3/18/2015,48
3/19/2015,85
3/20/2015,37
3/21/2015,159
3/22/2015,74
3/23/2015,15
3/24/2015,24
3/25/2015,48
3/26/2015,19
3/27/2015,13
3/28/2015,22
3/29/2015,35
3/30/2015,49
3/31/2015,54
4/1/2015,96
4/2/2015,31
4/3/2015,28
4/4/2015,104
4/5/2015,242
4/6/2015,37
4/7/2015,14
4/8/2015,51
4/9/2015,31
4/10/2015,83
4/11/2015,257
4/12/2015,352
4/13/2015,91
4/14/2015,82
4/15/2015,61
4/16/2015,28
4/17/2015,139
4/18/2015,508
4/19/2015,92
4/20/2015,35
4/21/2015,49
4/22/2015,23
4/23/2015,24
4/24/2015,117
4/25/2015,58
4/26/2015,156
4/27/2015,40
4/28/2015,98
4/29/2015,71
4/30/2015,38
5/1/2015,138
5/2/2015,345
5/3/2015,362
5/4/2015,93
5/5/2015,94
5/6/2015,180
5/7/2015,141
5/8/2015,135
5/9/2015,324
5/10/2015,156
5/11/2015,84
5/12/2015,136
5/13/2015,132
5/14/2015,82
5/15/2015,164
5/16/2015,191
5/17/2015,219
5/18/2015,64
5/19/2015,104
5/20/2015,99
5/21/2015,58
5/22/2015,142
5/23/2015,305
5/24/2015,413
5/25/2015,383
5/26/2015,90
5/27/2015,123
5/28/2015,106
5/29/2015,177
5/30/2015,242
5/31/2015,176
6/1/2015,33
6/2/2015,98
6/3/2015,114
6/4/2015,152
6/5/2015,149
6/6/2015,278
6/7/2015,270
6/8/2015,71
6/9/2015,118
6/10/2015,126
6/11/2015,165
6/12/2015,172
6/13/2015,232
6/14/2015,293
6/15/2015,55
6/16/2015,93
6/17/2015,37
6/18/2015,61
6/19/2015,92
6/20/2015,73
6/21/2015,250
6/22/2015,148
6/23/2015,138
6/24/2015,177
6/25/2015,101
6/26/2015,58
6/27/2015,166
6/28/2015,373
6/29/2015,66
6/30/2015,130
7/1/2015,240
7/2/2015,242
7/3/2015,654
7/4/2015,677
7/5/2015,529
7/6/2015,209
7/7/2015,66
7/8/2015,53
7/9/2015,146
7/10/2015,112
7/11/2015,476
7/12/2015,337
7/13/2015,148
7/14/2015,109
7/15/2015,111
7/16/2015,211
7/17/2015,160
7/18/2015,390
7/19/2015,190
7/20/2015,176
7/21/2015,228
7/22/2015,208
7/23/2015,187
7/24/2015,236
7/25/2015,439
7/26/2015,351
7/27/2015,147
7/28/2015,187
7/29/2015,104
7/30/2015,225
7/31/2015,272
8/1/2015,523
8/2/2015,397
8/3/2015,111
8/4/2015,249
8/5/2015,172
8/6/2015,107
8/7/2015,237
8/8/2015,438
8/9/2015,295
8/10/2015,105
8/11/2015,215
8/12/2015,203
8/13/2015,187
8/14/2015,222
8/15/2015,683
8/16/2015,359
8/17/2015,153
8/18/2015,143
